"maps_id","name","cnpj","zip_code","latitude","longitude","USER_ID","address"
"ChIJE26UeQBfzpQRqczGBdVig4E","Ecoponto Cangaíba","30.479.862/0001-00","08250-630","-23.5038241","-46.5275395",NULL,"Rua Hugo Wolf, 300 - Cangaiba, São Paulo"
"ChIJeVxk1uhPzpQRzR9cwhaTTXY","Transbordo Santo Amaro","50.526.742/0001-23","03449-005","-23.6920211","-46.6853722",NULL,"Av. Miguel Yunes, 343 - Usina Piratininga, São Paulo"
"ChIJg2VqOexRzpQRmG5PkbzhyfI","Reciclagem Zona Sul","77.572.435/0001-35","02176-050","-23.6663975","-46.7056875",NULL,"R. Cel. Jaime Bueno de Camargo, 01 - Jurubatuba, São Paulo"
"ChIJGVzez6ddzpQRz1LiPGoCSEI","Cofani Sucatas","14.087.506/0001-94","05831-204","-23.5756045","-46.5358311",NULL,"R. Teofrasto, 271 - Vila Olinda, São Paulo"
"ChIJI2seXK9fzpQRGbVRI32k4SE","Comercio De Sucatas Miranda","30.476.205/0001-09","04805-290","-23.5094046","-46.5490171",NULL,"Av. Dr. Assis Ribeiro, 230 - Cangaiba, São Paulo"
"ChIJI4rd-SNbzpQRIhMbUcYM2a0","Coleta Roma","09.660.409/0001-09","02345-080","-23.5897851","-46.5972261",NULL,"R. Alm. Lobo, 1227 - Vila Carioca, São Paulo"
"ChIJi6LHlzP3zpQR3jaxqQsCfyc","Reciclagem X Lata","61.099.001/0001-20","04883-330","-23.501682","-46.66267000000001",NULL,"Av. José de Brito de Freitas, 300 - Vila Bandeirantes, São Paulo"
"ChIJif1-Ea5ZzpQRi8XZhmFx-VI","Ecoponto - Liberdade","78.977.533/0001-15","03122-010","-23.5565935","-46.6372422",NULL,"Rua Jaceguai, 67 - Liberdade, São Paulo"
"ChIJjWiFJ_5TzpQR8U2FWrbzyR4","Reciclagem davanusa","40.629.316/0001-61","02318-330","-23.6277648","-46.7511703",NULL,"Rua Gil Simões da Costa, 24 - Parque Reboucas, São Paulo"
"ChIJK965o5NZzpQRFw72fVnZp3E","Descarte e Doações Bela Vista","23.047.186/0001-30","04159-200","-23.5516324","-46.6449849",NULL,"R. Santo Antônio, 686 - Bela Vista, São Paulo"
"ChIJKWbGcgBRzpQRR5MsZAbnAEU","Ecoponto São Luis","87.744.124/0001-60","08051-037","-23.6669204","-46.7451551",NULL,"R. Pedro Armani, 252 - Jardim Leticia, São Paulo"
"ChIJLwTVAONRzpQRCWtLsTGItQM","Ecoponto Paraisópolis","24.496.011/0001-72","08215-300","-23.6231006","-46.7251363",NULL,"R. Irapará, 73 - Paraíso do Morumbi, São Paulo"
"ChIJM-cf1slYzpQRiTVjQw5XTdM","Ecoponto Vila Guilherme","35.502.181/0001-39","02124-010","-23.5171106","-46.6004055",NULL,"Rua José Bernardo Pinto, 1480 - Vila Guilherme, São Paulo"
"ChIJmd4D_tdezpQRCa8mci8GBYA","Ecoponto Tatuapé","74.160.349/0001-27","05269-130","-23.5299188","-46.583022",NULL,"Av. Salim Farah Maluf, 179 - Tatuapé, São Paulo"
"ChIJo5P694NjzpQRF5zIlcAU228","Central Mecanizada de Triagem Carolina Maria de Jesus,","75.953.154/0001-05","08390-331","-23.6925825","-46.6851707",NULL,"Av. Miguel Yunes, 345 - Usina Piratininga, São Paulo"
"ChIJO8YRPCZZzpQRmY1TDnjqXt8","Runna Reciclagem","02.824.922/0001-49","03810-970","-23.548946","-46.6023408",NULL,"R. Bresser, 2278 - Mooca, São Paulo"
"ChIJQ2qmNR9ZzpQRE_SAcm0i7to","JMM Aparas","06.601.047/0001-97","05728-030","-23.5220463","-46.6374275",NULL,"Rua Solon, 587 - 4 - 587 - 4 - Bom Retiro, São Paulo"
"ChIJQ_LgrfBTzpQRg45ZtBkAoKI","Ecoponto Olinda","32.177.605/0001-49","04344-080","-23.6342255","-46.7580591",NULL,"R. Nelson Brissac, 1235 - Parque Regina, São Paulo"
"ChIJR4qISnBZzpQRlgTq_hIJ29A","Plasmo Hub","39.892.654/0001-02","08121-300","-23.5664516","-46.6014539",NULL,"R. Barão de Monte Santo, 5 - Parque da Mooca, São Paulo"
"ChIJRV3Jc1xRzpQRQ8BPKucj6zU","Ecoponto Vila das Belezas","90.390.868/0001-38","08022-120","-23.6380074","-46.74164529999999",NULL,"R. Campo Novo do Sul, 500 - Vila Andrade, São Paulo"
"ChIJS5gnQrJfzpQR-H1hDCbOovc","Ecoponto Tiquatira","47.823.323/0001-49","04183-100","-23.5134192","-46.54374989999999",NULL,"Av. Governador Carvalho Pinto, s/n - Jardim Jau (Zona Leste), São Paulo"
"ChIJT0uBgdldzpQRs7q3GVS-O74","DD Metais e Reciclagem Sapopemba","75.545.317/0001-02","08160-550","-23.5786553","-46.5441282",NULL,"Av. Sapopemba, 4774 - Vila Margarida, São Paulo"
"ChIJtzpevlpZzpQRUp-edn58ZKs","Jamaica Reciclagem","82.853.816/0001-22","01017-905","-23.5372178","-46.6001992",NULL,"R. Doná Joaquina Francisca de Paiva, 102 - Loja 1 - Catumbi, São Paulo"
"ChIJUyBHJzNfzpQR8akfQbxazNk","Latasa Reciclagem","07.784.934/0001-00","04748-060","-23.5224101","-46.592518",NULL,"Av. Guilherme Cotching, 726 - Vila Maria Baixa, São Paulo"
"ChIJV4RkHFJdzpQRCxBOJgbPe3o","Ecoponto Anhaia Mello","89.791.193/0001-50","05790-250","-23.5826145","-46.5710734",NULL,"R. da Prece, 313 - Vila Prudente, São Paulo"
"ChIJVS5AY2RYzpQRxUEPFevd3aM","VOTUFER COM DE SUCATA E APARAS","19.899.605/0001-94","02407-070","-23.5232951","-46.6374971",NULL,"R. David Bigio, 151 - Bom Retiro, São Paulo"
"ChIJW0AXq7pTzpQR211uU0s5UZo","Ecoponto Santo Dias","95.405.391/0001-30","03560-190","-23.6639439","-46.7766326",NULL,"R. Rosifloras, 301 - Conj. Hab. Instituto Adventista, São Paulo"
"ChIJWdhWhOD3zpQRh0jjluaIPl4","Rápido Sucata","69.805.873/0001-78","05162-110","-23.5154455","-46.5904418",NULL,"R. Itaúna, 779 / 789 - Vila Maria, São Paulo"
"ChIJxQLDpgVZzpQR-GA4cDoG5jo","CENTRO DE RECICLAGEM NOVA GLICÉRIO","41.628.088/0001-78","08022-170","-23.5529049","-46.6268489",NULL,"Av. do Estado, 3200 - Brás, São Paulo"
"ChIJxUa0cZBRzpQRvUwZ2I87A2k","Ecoponto Piraporinha","67.924.480/0001-58","08111-321","-23.6698447","-46.7364804",NULL,"R. João de Abreu, 326 - Jardim das Flores, São Paulo"
"ChIJY2brqi5TzpQR8EGL91auEV8","COLETA DE ÓLEO VEGETAL - PROTEGE","44.095.472/0001-40","02320-170","-23.6574685","-46.7703251",NULL,"R. Golfito, 32 - Cidade Auxiliadora, São Paulo"
"ChIJy7T_LoRRzpQRLMVrSgS1KbM","Japa reciclagem","49.932.812/0001-64","02837-130","-23.6505966","-46.7414012",NULL,"R. João Fernandes Camisa Nova Júnior - Jardim Brasília, São Paulo"
"ChIJYcReRT9ZzpQRh3HZ6jtL6RY","Doações e descarte eletrónico","99.527.890/0001-51","04710-150","-23.5496669","-46.6357199",NULL,"R. Benjamin Constant, 170 - Sé, São Paulo"
"ChIJydF3UhxfzpQRapIAfcBMtQM","Latasa Garimpeiro Urbano","91.450.119/0001-11","04257-210","-23.5148869","-46.5800981",NULL,"Rua Arari Leite, 629 - Vila Maria, São Paulo"
"ChIJYyKUnppXzpQRXHovVd6Zm4s","Coopamare Reciclagem","18.147.691/0001-16","04966-130","-23.5551742","-46.6816428",NULL,"R. Galeno de Almeida, 659 - Pinheiros, São Paulo"
"ChIJYYq3l1xZzpQR48Ui_kqjxck","Ecoponto Tereza Cristina","48.892.773/0001-56","02473-070","-23.5691176","-46.6084349",NULL,"Av. Teresa Cristina, 10 - Ipiranga, São Paulo"
"ChIJzaBHTMJYzpQR5lStHU83pRk","Sucatas de Ferro","12.861.389/0001-49","02560-011","-23.527168","-46.6103161",NULL,"Av. Pedroso da Silveira, 328 - Pari, São Paulo"
"ChIJzbz1oMZZzpQRX2Yk1bX4v5o","Eco Prime","12.345.678/0001-90","06321-040","-23.53652","-46.82891",NULL,"R. Adão Gonçalves da Costa, 187 - Vila Jussara, Carapicuíba - SP"
"ChIJzd1YpMZZzpQR6Y2Yk3X5v6p","Eco-Ponto Alto dos Pinheiros","98.765.432/0001-10","05463-080","-23.55623","-46.70922",NULL,"Praça Arcipreste Anselmo de Oliveira - Alto de Pinheiros, São Paulo - SP"
"ChIJ0aFZB5xjzpQRX19Y1KOa8Qw","Ecoponto Politécnica","11.223.344/0001-55","05382-140","-23.57525","-46.76396",NULL,"Rua Paulino Baptista Conti - Vila Antonio, São Paulo - SP"
"ChIJ1bGZB5xjzpQRZ20Y2KOa7Qx","ENEL ECOPONTO","22.334.455/0001-66","05336-010","-23.54522","-46.75247",NULL,"R. Floresto Bandecchi, 128 - Jaguaré, São Paulo - SP"
"ChIJ2cHZB5xjzpQRZ21Y3KOa6Qy","Ecoponto Vila Madalena Corpus","33.445.566/0001-77","05433-000","-23.55742","-46.68617",NULL,"R. Girassol, 21 - Vila Madalena, São Paulo - SP"
"ChIJ3dIZB5xjzpQRZ22Y4KOa5Qz","Ecoponto Jardim Maria do Carmo","44.556.677/0001-88","05524-000","-23.59465","-46.74703",NULL,"R. Caminho do Engenho, 800 - Ferreira, São Paulo - SP"
"ChIJ4eJZB5xjzpQRZ23Y5KOa4Q0","Ecoponto Vila Jaguará","55.667.788/0001-99","05117-100","-23.51572","-46.74006",NULL,"R. Agrestina, 189 - Jaguará, São Paulo - SP"
"ChIJ5fKZB5xjzpQRZ24Y6KOa3Q1","Ecoponto Berrini","66.778.899/0001-00","04548-060","-23.59715","-46.69147",NULL,"APraça do Cancioneiro, 15 - Cidade Monções, São Paulo - SP"
"ChIJ6gLZB5xjzpQRZ25Y7KOa2Q2","Ecoponto Freguesia do Ó","77.889.900/0001-11","02911-040","-23.50507","-46.70091",NULL,"R. Souza Filho, 690 - Vila Arcadia, São Paulo - SP"
"ChIJ7hMZB5xjzpQRZ26Y8KOa1Q3","Ecoponto Barra Funda","88.990.011/0001-22","01135-020","-23.52624","-46.64685",NULL,"R. Cônego Vicente Miguel Marino, 22 - Barra Funda, São Paulo - SP"
"ChIJ8iNZB5xjzpQRZ27Y9KOa0Q4","Ecoponto Ecoponto Bela Vista","99.101.122/0001-33","01324-040","-23.55146","-46.64349",NULL,"R. Quatorze de Julho, 65 - Bela Vista, São Paulo - SP"
