"recycling_id","points_value","weight","date","validation_hash","STATUS","user_id","RECYCLING_POINT_ID","RECYCLING_VALUE_ID"
"61",2195,"4.39","2025-02-01 22:12:29.925086+00","reciclagem60","REDEEMED","2","49","1"
"62",1120,"2.24","2025-01-01 22:12:29.9251+00","reciclagem61","REDEEMED","3","1","1"
"63",385,"0.77","2025-12-01 22:12:29.925114+00","reciclagem62","REDEEMED","4","18","1"
"64",1060,"2.12","2025-11-01 22:12:29.925127+00","reciclagem63","REDEEMED","5","49","1"
"65",685,"1.37","2025-10-01 22:12:29.925141+00","reciclagem64","REDEEMED","6","27","1"
"66",965,"1.93","2025-09-01 22:12:29.925156+00","reciclagem65","REDEEMED","2","11","1"
"67",785,"1.57","2025-08-01 22:12:29.925168+00","reciclagem66","REDEEMED","3","39","1"
"68",560,"1.12","2025-07-01 22:12:29.92518+00","reciclagem67","REDEEMED","4","43","1"
"69",2009,"4.02","2025-06-01 22:12:29.925193+00","reciclagem68","REDEEMED","5","38","1"
"70",465,"0.93","2025-05-01 22:12:29.925205+00","reciclagem69","REDEEMED","6","2","1"
"71",1765,"3.53","2025-04-01 22:12:29.925217+00","reciclagem70","REDEEMED","2","52","1"
"72",1565,"3.13","2025-03-01 22:12:29.925234+00","reciclagem71","REDEEMED","3","41","1"
"73",1100,"2.2","2025-02-01 22:12:29.925248+00","reciclagem72","REDEEMED","4","18","1"
"74",2215,"4.43","2025-01-01 22:12:29.925261+00","reciclagem73","REDEEMED","5","27","1"
"75",1540,"3.08","2024-12-01 22:12:29.925274+00","reciclagem74","REDEEMED","6","8","1"
"76",1395,"2.79","2024-11-01 22:12:29.925287+00","reciclagem75","REDEEMED","2","41","1"
"77",1800,"3.6","2024-10-01 22:12:29.925301+00","reciclagem76","REDEEMED","3","43","1"
"78",515,"1.03","2024-09-01 22:12:29.925315+00","reciclagem77","REDEEMED","4","2","1"
"79",2455,"4.91","2024-08-01 22:12:29.925328+00","reciclagem78","REDEEMED","5","4","1"
"80",2335,"4.67","2024-07-01 22:12:29.925341+00","reciclagem79","REDEEMED","6","21","1"
"81",2240,"4.48","2025-06-01 22:12:29.925355+00","reciclagem80","REDEEMED","2","21","1"
"82",1075,"2.15","2025-05-01 22:12:29.925368+00","reciclagem81","REDEEMED","3","20","1"
"83",1205,"2.41","2025-04-01 22:12:29.925381+00","reciclagem82","REDEEMED","4","49","1"
"84",1100,"2.2","2025-03-01 22:12:29.925395+00","reciclagem83","REDEEMED","5","39","1"
"85",1030,"2.06","2025-02-01 22:12:29.925407+00","reciclagem84","REDEEMED","6","31","1"
"86",1855,"3.71","2025-01-01 22:12:29.92542+00","reciclagem85","REDEEMED","2","29","1"
"87",1815,"3.63","2025-11-01 22:12:29.925432+00","reciclagem86","REDEEMED","3","32","1"
"88",1555,"3.11","2025-11-01 22:12:29.925444+00","reciclagem87","REDEEMED","4","2","1"
"89",1055,"2.11","2025-11-01 22:12:29.925457+00","reciclagem88","REDEEMED","5","34","1"
"90",635,"1.27","2025-10-01 22:12:29.925469+00","reciclagem89","REDEEMED","6","31","1"
"91",1095,"2.19","2025-10-01 22:12:29.925481+00","reciclagem90","ACTIVE",NULL,"7","1"
"92",1575,"3.15","2025-10-01 22:12:29.925495+00","reciclagem91","ACTIVE",NULL,"27","1"
"93",1610,"3.22","2025-10-01 22:12:29.925508+00","reciclagem92","ACTIVE",NULL,"2","1"
"94",2455,"4.91","2025-10-01 22:12:29.925521+00","reciclagem93","ACTIVE",NULL,"15","1"
"95",1390,"2.78","2025-11-01 22:12:29.925533+00","reciclagem94","ACTIVE",NULL,"38","1"
"96",320,"0.64","2025-11-01 22:12:29.925546+00","reciclagem95","ACTIVE",NULL,"26","1"
"97",720,"1.44","2025-11-01 22:12:29.925558+00","reciclagem96","ACTIVE",NULL,"40","1"
"98",920,"1.84","2025-11-01 22:12:29.925572+00","reciclagem97","ACTIVE",NULL,"50","1"
"99",1075,"2.15","2025-09-01 22:12:29.925585+00","reciclagem98","ACTIVE",NULL,"34","1"
"100",1155,"2.31","2025-09-01 22:12:29.925597+00","reciclagem99","ACTIVE",NULL,"43","1"
